"No.","Time","Source","Destination","Protocol","Length","Info"
"933","90.439237","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62973, Time=3931202121"
"934","90.449192","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53185, Time=767227447"
"935","90.469229","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62974, Time=3931202361"
"936","90.479190","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53186, Time=767227687"
"937","90.499241","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62975, Time=3931202601"
"938","90.509198","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53187, Time=767227927"
"939","90.529246","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62976, Time=3931202841"
"940","90.539203","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53188, Time=767228167"
"941","90.559253","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62977, Time=3931203081"
"942","90.569199","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53189, Time=767228407"
"943","90.589253","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62978, Time=3931203321"
"944","90.599215","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53190, Time=767228647"
"945","90.619272","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62979, Time=3931203561"
"946","90.629228","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53191, Time=767228887"
"947","90.649239","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62980, Time=3931203801"
"948","90.659217","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53192, Time=767229127"
"949","90.679240","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62981, Time=3931204041"
"950","90.689200","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53193, Time=767229367"
"951","90.709242","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62982, Time=3931204281"
"952","90.719205","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53194, Time=767229607"
"953","90.739246","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62983, Time=3931204521"
"954","90.749205","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53195, Time=767229847"
"955","90.769253","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62984, Time=3931204761"
"956","90.779206","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53196, Time=767230087"
"957","90.799260","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62985, Time=3931205001"
"958","90.809213","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53197, Time=767230327"
"959","90.829257","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62986, Time=3931205241"
"960","90.839216","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53198, Time=767230567"
"961","90.859248","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62987, Time=3931205481"
"962","90.869213","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53199, Time=767230807"
"963","90.889250","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62988, Time=3931205721"
"964","90.899222","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53200, Time=767231047"
"965","90.919262","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62989, Time=3931205961"
"966","90.929226","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53201, Time=767231287"
"967","90.949258","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62990, Time=3931206201"
"968","90.959218","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53202, Time=767231527"
"969","90.979255","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62991, Time=3931206441"
"970","90.989225","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53203, Time=767231767"
"971","91.009261","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62992, Time=3931206681"
"972","91.019246","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53204, Time=767232007"
"973","91.039267","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62993, Time=3931206921"
